LocationType,Location,TimeFrame,DataFormat,Data
State,Colorado,2004,Number,68503
State,Colorado,2003,Number,69339
State,Colorado,2005,Number,68944
State,Colorado,2008,Number,70031
State,Colorado,2007,Number,70809
State,Colorado,2006,Number,70751
State,Colorado,2013,Number,65007
State,Colorado,2009,Number,68628
State,Colorado,2010,Number,66355
State,Colorado,2015,Number,66581
State,Colorado,2011,Number,65055
State,Colorado,2012,Number,65187
State,Colorado,2014,Number,65830
State,Colorado,2016,Number,66613
State,Connecticut,2016,Number,36015
State,Connecticut,2014,Number,36285
State,Connecticut,2012,Number,36539
State,Connecticut,2011,Number,37281
State,Connecticut,2015,Number,35746
State,Connecticut,2010,Number,37708
State,Connecticut,2009,Number,38896
State,Connecticut,2013,Number,36085
State,Connecticut,2006,Number,41820
State,Connecticut,2007,Number,41660
State,Connecticut,2008,Number,40399
State,Connecticut,2005,Number,41718
State,Connecticut,2003,Number,42873
State,Connecticut,2004,Number,42095
State,Connecticut,2001,Number,42648
State,Connecticut,2002,Number,42001
State,Connecticut,1998,Number,43820
State,Connecticut,1999,Number,43310
State,Connecticut,2000,Number,43026
State,Connecticut,1997,Number,43109
State,Connecticut,1995,Number,44334
State,Connecticut,1996,Number,44469
State,Connecticut,1993,Number,46700
State,Connecticut,1994,Number,45655
State,Connecticut,1990,Number,50123
State,Connecticut,1991,Number,48566
State,Connecticut,1992,Number,47573
State,Delaware,1992,Number,10656
State,Delaware,1991,Number,11190
State,Delaware,1990,Number,11113
State,Delaware,1994,Number,10411
State,Delaware,1993,Number,10568
State,Delaware,1996,Number,10155
State,Delaware,1995,Number,10266
State,Delaware,1997,Number,10253
State,Delaware,2000,Number,11051
State,Delaware,1999,Number,10676
State,Delaware,1998,Number,10578
State,Delaware,2002,Number,11090
State,Delaware,2001,Number,10749
State,Delaware,2004,Number,11369
State,Delaware,2003,Number,11329
State,Delaware,2005,Number,11643
State,Delaware,2008,Number,12090
State,Delaware,2007,Number,12170
State,Delaware,2006,Number,11989
State,Delaware,2013,Number,10831
State,Delaware,2009,Number,11559
State,Delaware,2010,Number,11364
State,Delaware,2015,Number,11166
State,Delaware,2011,Number,11257
State,Delaware,2012,Number,11023
State,Delaware,2014,Number,10972
State,Delaware,2016,Number,10992
City,District of Columbia,2016,Number,9858
City,District of Columbia,2014,Number,9509
City,District of Columbia,2012,Number,9399
City,District of Columbia,2011,Number,9295
City,District of Columbia,2015,Number,9578
City,District of Columbia,2010,Number,9165
City,District of Columbia,2009,Number,9040
City,District of Columbia,2013,Number,9288
City,District of Columbia,2006,Number,8523
City,District of Columbia,2007,Number,8864
City,District of Columbia,2008,Number,9130
City,District of Columbia,2005,Number,7971
City,District of Columbia,2003,Number,7619
City,District of Columbia,2004,Number,7933
City,District of Columbia,2001,Number,7625
City,District of Columbia,2002,Number,7498
City,District of Columbia,1998,Number,7686
City,District of Columbia,1999,Number,7522
City,District of Columbia,2000,Number,7666
City,District of Columbia,1997,Number,7927
City,District of Columbia,1995,Number,9014
City,District of Columbia,1996,Number,8390
City,District of Columbia,1993,Number,10629
City,District of Columbia,1994,Number,9930
City,District of Columbia,1990,Number,11850
City,District of Columbia,1991,Number,11776
City,District of Columbia,1992,Number,10960
State,Florida,1992,Number,191713
State,Florida,1991,Number,194001
State,Florida,1990,Number,199339
State,Florida,1994,Number,190654
State,Florida,1993,Number,192537
State,Florida,1996,Number,189392
State,Florida,1995,Number,188723
State,Florida,1997,Number,192383
State,Florida,2000,Number,204125
State,Florida,1999,Number,197023
State,Florida,1998,Number,195637
State,Florida,2002,Number,205579
State,Florida,2001,Number,205793
State,Florida,2004,Number,218053
State,Florida,2003,Number,212250
State,Florida,2005,Number,226240
State,Florida,2008,Number,231445
State,Florida,2007,Number,239165
State,Florida,2006,Number,236802
State,Florida,2013,Number,215407
State,Florida,2009,Number,221394
State,Florida,2010,Number,214590
State,Florida,2015,Number,224269
State,Florida,2011,Number,213414
State,Florida,2012,Number,213148
State,Florida,2014,Number,219991
State,Florida,2016,Number,225022
State,Georgia,2016,Number,130042
State,Georgia,2014,Number,130946
State,Georgia,2012,Number,130280
State,Georgia,2011,Number,132409
State,Georgia,2015,Number,131404
State,Georgia,2010,Number,133947
State,Georgia,2009,Number,141377
State,Georgia,2013,Number,128748
State,Georgia,2006,Number,148633
State,Georgia,2007,Number,151137
State,Georgia,2008,Number,146603
State,Georgia,2005,Number,142200
State,Georgia,2003,Number,135979
State,Georgia,2004,Number,138849
State,Georgia,2001,Number,133526
State,Georgia,2002,Number,133300
State,Georgia,1998,Number,122368
State,Georgia,1999,Number,126717
State,Georgia,2000,Number,132644
